group,n,FPR_baseline,FPR_mitigation2,FPR_mitigation3
White,58388,0.15198343463005926,0.15198343463005926,0.15278869566884598
Black or African American,4440,0.21512102257274954,0.15664944248028284,0.15528963829208595
American Indian or Alaska Native,793,0.20890937019969277,0.15360983102918588,0.17972350230414746
