group,n,base_rate,selection_rate,TPR_recall,FPR,precision_PPV,avg_predicted_p,stable_n100
35-44,37405,0.10519983959363721,0.17930757920064164,0.6,0.12984762473857187,0.3520202773222007,0.10447576441287047,True
25-34,36537,0.09842077893642061,0.18003667515121657,0.60734149054505,0.13339000030357306,0.33201581027667987,0.10389230370965567,True
45-54,20444,0.12414400313050283,0.20680884367051458,0.6398739164696612,0.145426114151681,0.3841059602649007,0.11680803268187025,True
55-64,12489,0.13323724877892545,0.24525582512611097,0.7103365384615384,0.17376443418013857,0.385896180215475,0.13129959349228024,True
65-74,5721,0.12952281069743052,0.24995630134591854,0.6950067476383266,0.18373493975903615,0.36013986013986016,0.13354358839046332,True
<25,3630,0.15950413223140497,0.2994490358126722,0.7668393782383419,0.210750573582432,0.40846366145354185,0.1541023480473315,True
>74,1877,0.13052743740010656,0.28343100692594564,0.726530612244898,0.21691176470588236,0.33458646616541354,0.14074307753650084,True
8888,91,0.08791208791208792,0.15384615384615385,0.75,0.0963855421686747,0.42857142857142855,0.094117646936107,False
