group,n,selection_rate_baseline,FPR_baseline,recall_TPR_baseline,precision_PPV_baseline,stable_n100,selection_rate_mitigated,FPR_mitigated,recall_TPR_mitigated,precision_PPV_mitigated,FPR_change,recall_change
White,58388,0.20483661026238267,0.15198343463005926,0.6472476328037233,0.33720735785953176,True,0.20483661026238267,0.15198343463005926,0.6472476328037233,0.33720735785953176,0.0,0.0
Race Not Available,26266,0.22671895225767152,0.15812662466405253,0.6629307929391987,0.3973131821998321,True,0.22671895225767152,0.15812662466405253,0.6629307929391987,0.3973131821998321,0.0,0.0
Asian,22846,0.1364790335288453,0.09513701273639522,0.5410764872521246,0.36754329698524696,True,0.1364790335288453,0.09513701273639522,0.5410764872521246,0.36754329698524696,0.0,0.0
Joint,4739,0.13315045368221143,0.09410689812699863,0.6066481994459834,0.347068145800317,True,0.13315045368221143,0.09410689812699863,0.6066481994459834,0.347068145800317,0.0,0.0
Black or African American,4440,0.29346846846846847,0.21512102257274954,0.6710353866317169,0.39293937068303914,True,0.2349099099099099,0.15664944248028284,0.6120576671035387,0.4477468839884947,-0.058471580092466696,-0.05897771952817821
American Indian or Alaska Native,793,0.3051702395964691,0.20890937019969277,0.7464788732394366,0.4380165289256198,True,0.25346784363177804,0.15360983102918588,0.7112676056338029,0.5024875621890548,-0.055299539170506895,-0.035211267605633756
Native Hawaiian or Other Pacific Islander,387,0.24806201550387597,0.14826498422712933,0.7,0.5104166666666666,True,0.24806201550387597,0.14826498422712933,0.7,0.5104166666666666,0.0,0.0
2 or more minority races,300,0.20666666666666667,0.11462450592885376,0.7021276595744681,0.532258064516129,True,0.20666666666666667,0.11462450592885376,0.7021276595744681,0.532258064516129,0.0,0.0
Free Form Text Only,35,0.08571428571428572,0.03333333333333333,0.4,0.6666666666666666,False,0.08571428571428572,0.03333333333333333,0.4,0.6666666666666666,0.0,0.0
