group,n,base_rate,selection_rate,TPR_recall,FPR,precision_PPV,avg_predicted_p,stable_n100
White,58388,0.10671713365760088,0.2073199972597109,0.6498154389343604,0.1544567363920471,0.33448988021478726,0.11256658383678879,True
Race Not Available,26266,0.13587908322546258,0.2290794182593467,0.6646119361165592,0.1605939110895713,0.39421638690377264,0.12727724048418265,True
Asian,22846,0.09270769500131314,0.13809857305436402,0.5434372049102927,0.09668081821690468,0.3648177496038035,0.09271756585496307,True
Joint,4739,0.07617640852500528,0.13526060350284871,0.6066481994459834,0.09639104613978985,0.3416536661466459,0.0888567373185549,True
Black or African American,4440,0.17184684684684684,0.29617117117117114,0.672346002621232,0.21811259178678272,0.39011406844106467,0.14451501565258282,True
American Indian or Alaska Native,793,0.17906683480453972,0.3064312736443884,0.7464788732394366,0.21044546850998463,0.43621399176954734,0.16435474595164562,True
Native Hawaiian or Other Pacific Islander,387,0.18087855297157623,0.24806201550387597,0.7,0.14826498422712933,0.5104166666666666,0.14070738642712788,True
2 or more minority races,300,0.15666666666666668,0.21333333333333335,0.7021276595744681,0.1225296442687747,0.515625,0.14288548432294582,True
Free Form Text Only,35,0.14285714285714285,0.08571428571428572,0.4,0.03333333333333333,0.6666666666666666,0.10195133145189986,False
