group,n,FPR_baseline,FPR_mitigated,FPR_change,recall_TPR_baseline,recall_TPR_mitigated,recall_change,FPR_change_pct_points,recall_change_pct_points
Black or African American,4440,0.21512102257274954,0.15664944248028284,-0.058471580092466696,0.6710353866317169,0.6120576671035387,-0.05897771952817821,-5.85,-5.9
American Indian or Alaska Native,793,0.20890937019969277,0.15360983102918588,-0.055299539170506895,0.7464788732394366,0.7112676056338029,-0.035211267605633756,-5.53,-3.52
