threshold,precision,recall,f1,pct_flagged
0.05,0.16184451005201744,0.8651736058920788,0.27267989956890426,0.6018071983349409
0.076,0.27369071800759515,0.6987073500676386,0.3933157059756742,0.2874003756535865
0.1,0.36225930680359436,0.6362543213587855,0.46166430363180283,0.19772577288187218
0.2,0.5957993999142734,0.5223207575529836,0.556645709022466,0.09869367311369444
0.3,0.6812055608617213,0.48241394859461895,0.5648290729904527,0.07972485912990507
0.5,0.8303466755987272,0.37261385840974,0.5143953934740882,0.05051863884799567
