group,n,base_rate,selection_rate,TPR_recall,FPR,precision_PPV,avg_predicted_p,stable_n100
Joint,50670,0.09029011249259918,0.16879810538780343,0.6150819672131147,0.12450374227139603,0.3290073658365486,0.0977416351641276,True
Male,36157,0.12642088668860801,0.21376220372265398,0.6267775103915992,0.15399227505857024,0.37068184758700995,0.11834426568238378,True
Female,23663,0.13544351941850147,0.24781304145712715,0.6992199687987519,0.17709453514517548,0.382162346521146,0.13640556990695457,True
Sex Not Available,7704,0.12396157840083073,0.19379543094496365,0.6010471204188481,0.13616832123277522,0.3844608171466845,0.1127310096085985,True
